2022-01-22/20:51:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-22/20:58:01		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-22/20:58:02		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-22/20:58:02		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-22/20:58:02		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-22/20:58:03		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-22/20:58:03		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-22/20:58:04		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-22/20:58:05		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-22/20:58:05		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-01-22/21:07:47		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-01-22/21:07:48		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-01-22/21:07:49		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-01-22/21:07:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-01-22/21:07:50		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-01-22/21:07:50		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-01-22/21:07:51		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-01-22/21:07:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-01-22/21:07:51		 wafer_29012020_050617.csv: File Transformed successfully!!
